ITEM,Calories(kCal),Sugar(g),Protein(g),Fat(g),Sodium(mg),Price(baht)
Ham Cheese Sandwich,230.0,3.0,9.0,11.0,202.7,32
Salmon Onigiri ,194.0,0.0,6.9,2.7,54.0,27
Tuna Cheese Toast Sandwich,310.0,5.0,11.0,20.0,154.0,32
"Shredded  Pork  with salad
Cream Sandwich",260.0,12.0,8.0,13.0,230.0,32
Carbonara Danish Sandwich,390.0,4.0,8.0,26.0,6.0,32
Ham Cheese Croissant,320.0,3.0,10.0,20.0,151.6,32
"Pandan Custard with Golden
Threads Toast Sandwich",270.0,13.0,6.0,13.0,420.0,27
Sausage Cheese Croissant,370.0,4.0,11.0,25.0,347.0,27
Tuna Salmon Croissant,370.0,8.0,7.0,25.0,390.0,27
Ezygo Port  Porridge,150.0,0.0,8.0,45.5,730.0,35
Ezygo Grilled Pork  with Sticky,260.0,3.0,12.0,4.5,300.0,35
Caesar Salad,46.0,2.1,3.0,2.0,83.0,70
Tuna Sandwich,340.0,2.0,36.2,10.4,300.0,30
Cranola Diamond  Crains,471.0,29.0,10.0,20.0,0.0,70
CoCo Krunch  Cereal,110.0,9.0,3.0,1.0,40.0,30
Kelloggs Corn Flakes,365.0,9.0,7.0,0.8,666.7,30
Ezygo Crab  Fried  rice,440.0,3.0,13.0,13.0,980.0,35
Ezşgo Pork Fried rice,410.0,4.0,13.0,14.0,920.0,35
Ezygo Stir-Fried Pork and Basil with Rice,460.0,2.0,17.0,12.0,690.0,35
"Ezygo Stir-Fried Chicken and
Basil with Rice and Fried Egg",480.0,2.0,21.0,16.0,720.0,35
Ezygo Salt Grilled  Pork with Japanese Rice,440.0,2.0,16.0,12.0,500.0,40
Ezygo Spaghetti Carbonara,360.0,3.0,10.0,20.0,590.0,40
Ezygo Tonkotsu ramen,280.0,5.0,14.0,11.0,1340.0,40
"Ezygo Stir-fried Pork with
Gochujang Sauce and Rice",420.0,6.0,12.0,8.0,700.0,50
Ezygo Omelette with Rice,340.0,1.0,13.0,8.0,410.0,30
Ezygo Panaeng Curry with pork,410.0,3.0,13.0,15.0,610.0,35
"Ezygo Stir Fried Chicken and
Basil with rice",430.0,5.0,20.0,5.0,680.0,35
"Ezygn firied Rice with Korean
Style Chicken",500.0,8.0,20.0,19.0,550.0,35
"Ezygo Macarnni Tomato Sauce
with Chicken",410.0,5.0,14.0,16.0,910.0,35
"Ezygo Spicy Minced  Pork  &
Grilled Pork Frith Rice",430.0,3.0,16.0,13.0,450.0,40
"Ezygo Deep Fried  Fish with
Herb  & Spicy Sauce with rice",420.0,8.0,20.0,7.0,970.0,40
Ezygo Dried Noodle  with Fish ,260.0,5.0,13.0,3.0,1000.0,35
Stir-Fried Basil Pork and  Rice,585.2,3.0,26.5,22.3,2473.5,35
Fried Pork,405.1,4.0,20.2,35.3,410.3,40
Sweet Potato,90.0,6.5,2.0,0.2,36.0,20
Chicken  Breast,120.0,0.0,22.5,2.6,45.0,40
"Ezygo Fried Sliced  Chicken with
Garlic with rice",360.0,3.0,15.0,5.0,510.0,40
Zaru Soba,269.0,5.0,9.0,1.0,1930.0,60
Slide Grilled Pork Salad,165.0,0.6,22.0,5.0,538.39,60
Natural  Yogurt,84.0,4.0,14.0,0.0,60.0,20
"Spicy Glass Noodles Stir•Fried
with Shrimp with Climbing Wattle",885.0,4.2,20.0,5.0,1130.5,50
Spicy Minced  Catfish Salad,166.0,2.0,13.0,10.0,30.0,50
Wide Rice Noodles Stir-Fried with Shrimp with Climbing Wattle,360.0,3.0,29.0,12.0,2313.0,40
"Noodles with Seafood  Soup and
red Sauce",160.0,2.0,10.0,4.0,2031.0,40
Ramen,190.0,2.0,5.0,6.0,1860.0,45
Blood Tofu Soup with Gourd,600.0,2.0,30.0,8.0,2010.0,40
Rolled rice Noodles in Five Spices Broth,366.0,2.0,22.0,10.0,554.3,35
Tuna Salnd Roll,56.0,0.8,8.8,0.8,35.2,50
Cream-O Gold,180.0,14.0,2.0,9.0,35.0,10
Cream-O Caramel,90.0,6.0,1.0,4.5,25.0,10
Mochi Choux Cream,160.0,10.0,2.0,8.0,110.0,30
Lotus Stick Biscuit: Original Flavor,560.0,20.0,8.0,28.0,190.0,20
Lay's Original Flavor Flat Potato chips,260.0,0.0,3.0,14.0,65.0,20
"Lay's Nori Seaweed Flavor
Reduced Saturated Fat Formula Flat potato chips",260.0,2.0,3.0,15.0,120.0,20
Tawan Larb Flavor Tapioca Chips,310.0,0.0,2.0,14.0,150.0,20
Flower Food Roasted Pumpkin Chips,130.0,0.0,9.0,8.0,35.0,20
"Bento Sweet & Spicy Flavor
Squid Seafood Snack",60.0,5.0,5.0,0.0,400.0,20
Cornae American Corn Snack,150.0,1.0,1.0,10.0,160.0,20
Taro Bar-BQ Flavoured Fish Snack,80.0,4.0,6.0,0.0,580.0,20
Taro Spicy Flavoured Fish Snack,80.0,3.0,6.0,0.0,530.0,5
"Lay's Rock Extra Barbecue
Flavor Ridged Potato Chip",70.0,0.0,2.0,4.5,65.0,25
"Koh-Kae Plus Salted & Roasted
Cashew Nuts",180.0,2.0,6.0,14.0,70.0,20
"Sunbites Barbeque Flavor Baked
Multigrain Snack",150.0,3.0,3.0,6.0,15.0,20
"Taokaenoi Classic Flavoured
Big Sheet Fried Seaweed",100.0,0.0,2.0,10.0,50.0,50
Ichitan Lychee Flavor,210.0,47.0,0.0,0.0,65.0,16
Ichitan Pomegranate Flavor,160.0,38.0,0.0,0.0,65.0,16
Ichitan Green Tea Flavor,60.0,9.0,0.0,0.0,55.0,16
Ichitan Green Tea Honey Lemon Flavor,320.0,70.0,0.0,0.0,35.0,16
Ichitan Genmaicha Flavor,70.0,15.0,0.0,0.0,60.0,16
Oishi Green Tea Yuzu Orange Flavor,180.0,42.0,0.0,0.0,40.0,16
Oishi Black Tea Lemon,220.0,52.0,0.0,0.0,25.0,16
Tivoli Combo,150.0,12.0,2.0,8.0,35.0,10
Tivoli Chocolate,130.0,11.0,2.0,7.0,40.0,10
Tivoli Vanilla ,80.0,6.0,1.0,4.5,15.0,10
Tivoli Twin Chocolate ,80.0,6.0,1.0,4.5,15.0,10
Pepsi Max Taste,0.0,0.0,0.0,0.0,0.0,12
Coke Zero,0.0,0.0,0.0,0.0,0.0,12
Ice-Cream Oreo Flavor,180.0,13.0,3.0,7.0,80.0,30
Oreo Vanilla Flavor,140.0,11.0,1.0,6.0,105.0,10
Coke Plus,45.0,11.0,0.0,0.0,0.0,12
Pumpkin,26.0,2.8,1.0,0.1,1.0,20
Grape,72.0,0.0,1.0,0.0,2.0,60
Banana,88.0,12.0,1.1,0.3,1.0,10
Apple,52.0,10.0,0.3,0.2,1.0,30
